Date,activeaddresses
2019/01/14,344327
2019/01/15,314794
2019/01/16,286684
2019/01/17,282094
2019/01/18,289440
2019/01/19,271191
2019/01/20,258927
2019/01/21,283223
2019/01/22,271341
2019/01/23,288696
2019/01/24,281288
2019/01/25,287777
2019/01/26,260485
2019/01/27,281358
2019/01/28,321660
2019/01/29,294068
2019/01/30,284285
2019/01/31,282939
2019/02/01,268450
2019/02/02,238505
2019/02/03,218617
2019/02/04,210708
2019/02/05,214209
2019/02/06,221771
2019/02/07,215655
2019/02/08,239795
2019/02/09,218470
2019/02/10,201596
2019/02/11,231053
2019/02/12,238315
2019/02/13,249619
2019/02/14,248998
2019/02/15,256574
2019/02/16,240103
2019/02/17,233796
2019/02/18,294114
2019/02/19,288144
2019/02/20,265497
2019/02/21,253127
2019/02/22,259869
2019/02/23,246534
2019/02/24,266516
2019/02/25,274024
2019/02/26,275076
2019/02/27,277796
2019/02/28,283440
2019/03/01,289369
2019/03/02,270200
2019/03/03,248887
2019/03/04,297311
2019/03/05,301353
2019/03/06,299928
2019/03/07,293740
2019/03/08,297005
2019/03/09,293155
2019/03/10,248942
2019/03/11,275906
2019/03/12,300600
2019/03/13,295125
2019/03/14,299203
2019/03/15,286640
2019/03/16,257475
2019/03/17,270707
2019/03/18,309984
2019/03/19,320611
2019/03/20,332146
2019/03/21,307925
2019/03/22,314535
2019/03/23,286245
2019/03/24,289252
2019/03/25,353061
2019/03/26,345896
2019/03/27,334125
2019/03/28,344862
2019/03/29,337104
2019/03/30,335385
2019/03/31,308688
2019/04/01,396185
2019/04/02,427971
2019/04/03,409260
2019/04/04,358038
2019/04/05,341682
2019/04/06,307245
2019/04/07,327368
2019/04/08,374122
2019/04/09,368288
2019/04/10,351941
2019/04/11,396355
2019/04/12,394176
2019/04/13,337027
2019/04/14,288367
2019/04/15,348071
2019/04/16,349630
2019/04/17,352592
2019/04/18,358295
2019/04/19,385678
2019/04/20,428494
2019/04/21,381527
2019/04/22,403965
2019/04/23,407202
2019/04/24,374399
2019/04/25,360654
2019/04/26,357403
2019/04/27,297026
2019/04/28,309705
2019/04/29,336674
2019/04/30,367955
2019/05/01,382598
2019/05/02,321087
2019/05/03,339028
2019/05/04,312412
2019/05/05,323059
2019/05/06,355914
2019/05/07,350434
2019/05/08,363638
2019/05/09,369403
2019/05/10,390146
2019/05/11,379938
2019/05/12,362998
2019/05/13,417639
2019/05/14,455235
2019/05/15,476016
2019/05/16,504367
2019/05/17,446427
2019/05/18,398108
2019/05/19,387824
2019/05/20,426047
2019/05/21,463557
2019/05/22,434511
2019/05/23,442042
2019/05/24,460337
2019/05/25,433887
2019/05/26,402367
2019/05/27,501646
2019/05/28,491628
2019/05/29,521289
2019/05/30,474381
2019/05/31,496102
2019/06/01,616610
2019/06/02,533502
2019/06/03,489279
2019/06/04,451740
2019/06/05,408759
2019/06/06,488268
2019/06/07,373725
2019/06/08,349710
2019/06/09,415666
2019/06/10,388891
2019/06/11,459039
2019/06/12,563029
2019/06/13,450067
2019/06/14,439013
2019/06/15,467973
2019/06/16,577168
2019/06/17,419607
2019/06/18,457028
2019/06/19,420847
2019/06/20,390251
2019/06/21,457366
2019/06/22,447131
2019/06/23,404740
2019/06/24,440819
2019/06/25,432888
2019/06/26,490845
2019/06/27,450242
2019/06/28,410341
2019/06/29,391778
2019/06/30,354916
2019/07/01,391823
2019/07/02,448403
2019/07/03,434397
2019/07/04,415589
2019/07/05,385326
2019/07/06,349120
2019/07/07,322679
2019/07/08,389502
2019/07/09,422658
2019/07/10,398137
2019/07/11,368153
2019/07/12,397542
2019/07/13,313561
2019/07/14,335975
2019/07/15,402584
2019/07/16,321699
2019/07/17,386104
2019/07/18,360732
2019/07/19,354991
2019/07/20,314683
2019/07/21,286734
2019/07/22,362045
2019/07/23,327792
2019/07/24,305020
2019/07/25,310535
2019/07/26,344789
2019/07/27,325000
2019/07/28,319222
2019/07/29,347491
2019/07/30,394480
2019/07/31,345606
2019/08/01,327457
2019/08/02,353383
2019/08/03,296529
2019/08/04,254424
2019/08/05,401691
2019/08/06,411690
2019/08/07,372561
2019/08/08,366988
2019/08/09,387920
2019/08/10,355988
2019/08/11,325476
2019/08/12,404005
2019/08/13,388875
2019/08/14,393530
2019/08/15,363286
2019/08/16,389302
2019/08/17,336271
2019/08/18,322394
2019/08/19,374353
2019/08/20,389206
2019/08/21,394080
2019/08/22,379440
2019/08/23,395807
2019/08/24,355268
2019/08/25,340331
2019/08/26,385340
2019/08/27,384459
2019/08/28,369853
2019/08/29,375806
2019/08/30,359161
2019/08/31,336241
