Date,median_transaction_fee30trxUSD
2019/03/22,-0.059
2019/03/23,-0.1
2019/03/24,-0.142
2019/03/25,-0.18
2019/03/26,-0.217
2019/03/27,-0.25
2019/03/28,-0.281
2019/03/29,-0.309
2019/03/30,-0.334
2019/03/31,-0.359
2019/04/01,-0.382
2019/04/02,-0.394
2019/04/03,-0.382
2019/04/04,-0.362
2019/04/05,-0.343
2019/04/06,-0.328
2019/04/07,-0.316
2019/04/08,-0.302
2019/04/09,-0.287
2019/04/10,-0.271
2019/04/11,-0.252
2019/04/12,-0.23
2019/04/13,-0.211
2019/04/14,-0.2
2019/04/15,-0.193
2019/04/16,-0.186
2019/04/17,-0.181
2019/04/18,-0.173
2019/04/19,-0.165
2019/04/20,-0.166
