Date,transactionvalue3rocUSD
2018/09/05,140.308
2018/09/06,41.71
2018/09/07,-31.142
2018/09/08,-20.988
2018/09/09,-34.851
2018/09/10,-12.318
2018/09/11,2.996
2018/09/12,53.289
2018/09/13,-3.624
2018/09/14,3.868
2018/09/15,-43.776
2018/09/16,-30.342
2018/09/17,-15.476
2018/09/18,12.582
2018/09/19,10.431
2018/09/20,6.938
2018/09/21,66.416
2018/09/22,25.579
2018/09/23,-9.991
2018/09/24,-24.372
2018/09/25,-3.268
2018/09/26,11.658
2018/09/27,-22.217
2018/09/28,-1.705
2018/09/29,-7.346
2018/09/30,-9.277
2018/10/01,-20.583
2018/10/02,-31.299
2018/10/03,-3.938
2018/10/04,5.432
2018/10/05,8.561
2018/10/06,-34.942
2018/10/07,-31.266
2018/10/08,22.878
2018/10/09,47.569
2018/10/10,47.81
2018/10/11,60.588
2018/10/12,16.541
2018/10/13,-32.407
2018/10/14,-58.558
2018/10/15,77.086
2018/10/16,87.443
2018/10/17,53.937
2018/10/18,-30.88
2018/10/19,-31.01
2018/10/20,-20.679
2018/10/21,-6.879
2018/10/22,0.013
2018/10/23,13.075
2018/10/24,-21.481
2018/10/25,46.933
2018/10/26,1.576
2018/10/27,-35.665
2018/10/28,-51.271
2018/10/29,1.714
2018/10/30,32.772
2018/10/31,44.243
2018/11/01,-15.767
2018/11/02,27.863
2018/11/03,-26.034
2018/11/04,11.711
2018/11/05,22.813
2018/11/06,53.613
2018/11/07,35.982
2018/11/08,-20.873
2018/11/09,-4.006
2018/11/10,-41.835
2018/11/11,-32.928
2018/11/12,8.199
2018/11/13,33.897
2018/11/14,125.819
2018/11/15,45.153
2018/11/16,12.164
2018/11/17,-52.359
2018/11/18,-30.934
2018/11/19,71.915
2018/11/20,161.143
2018/11/21,27.896
2018/11/22,-50.224
2018/11/23,-46.765
2018/11/24,-36.655
2018/11/25,33.633
2018/11/26,3.382
2018/11/27,-4.119
2018/11/28,-23.254
2018/11/29,12.086
2018/11/30,521.295
2018/12/01,440.362
2018/12/02,-56.54
2018/12/03,-86.097
2018/12/04,-87.032
2018/12/05,53.799
2018/12/06,38.661
2018/12/07,68.814
2018/12/08,-13.863
2018/12/09,-31.96
2018/12/10,-44.324
2018/12/11,-3.69
2018/12/12,-9.535
2018/12/13,13.493
2018/12/14,-4.974
2018/12/15,-29.676
2018/12/16,-36.9
2018/12/17,33.594
2018/12/18,98.499
2018/12/19,153.156
2018/12/20,45.888
2018/12/21,53.108
2018/12/22,-37.243
2018/12/23,-11.237
2018/12/24,10.663
2018/12/25,23.339
2018/12/26,-28.967
2018/12/27,-31.359
2018/12/28,10.63
2018/12/29,91.831
2018/12/30,-24.308
2018/12/31,-15.216
2019/01/01,-47.589
2019/01/02,42.286
2019/01/03,15.671
2019/01/04,109.884
2019/01/05,86.935
2019/01/06,20.631
2019/01/07,-30.614
2019/01/08,-50.765
2019/01/09,-22.27
2019/01/10,0.388
2019/01/11,42.815
2019/01/12,-30.441
2019/01/13,-39.189
2019/01/14,-19.951
2019/01/15,35.34
2019/01/16,42.054
2019/01/17,-30.43
2019/01/18,-29.04
2019/01/19,-47.715
2019/01/20,-23.661
2019/01/21,-7.38
2019/01/22,6.935
2019/01/23,12.915
2019/01/24,44.281
2019/01/25,26.807
2019/01/26,-26.065
2019/01/27,-17.649
2019/01/28,34.398
2019/01/29,30.916
2019/01/30,4.265
2019/01/31,-19.324
2019/02/01,-1.574
2019/02/02,-36.544
2019/02/03,-32.738
2019/02/04,-36.712
2019/02/05,-12.435
2019/02/06,28.091
2019/02/07,33.636
2019/02/08,97.466
2019/02/09,-22.084
2019/02/10,27.615
2019/02/11,7.291
2019/02/12,28.384
2019/02/13,-0.127
2019/02/14,-20.463
2019/02/15,-2.605
2019/02/16,-35.144
2019/02/17,15.252
2019/02/18,100.852
2019/02/19,162.036
2019/02/20,24.081
2019/02/21,-30.746
2019/02/22,-23.357
2019/02/23,-20.859
2019/02/24,43.025
2019/02/25,53.544
2019/02/26,-4.128
2019/02/27,-9.909
2019/02/28,-33.832
2019/03/01,-0.547
2019/03/02,-49.055
2019/03/03,-22.986
2019/03/04,11.058
2019/03/05,35.945
2019/03/06,14.043
2019/03/07,-0.232
2019/03/08,14.232
2019/03/09,-14.102
2019/03/10,-5.854
2019/03/11,5.222
2019/03/12,24.267
2019/03/13,-1.21
2019/03/14,-14.607
2019/03/15,-4.366
2019/03/16,13.163
2019/03/17,-6.434
2019/03/18,17.348
2019/03/19,-23.388
2019/03/20,28.916
2019/03/21,-11.396
2019/03/22,8.935
2019/03/23,-1.534
2019/03/24,-20.272
2019/03/25,32.91
2019/03/26,-13.118
2019/03/27,14.277
2019/03/28,-14.998
2019/03/29,4.607
2019/03/30,6.666
2019/03/31,-6.84
2019/04/01,-10.9
2019/04/02,53.785
2019/04/03,99.76
2019/04/04,36.913
2019/04/05,-14.885
2019/04/06,-41.603
2019/04/07,2.272
2019/04/08,44.726
2019/04/09,63.214
2019/04/10,6.88
2019/04/11,-33.825
2019/04/12,-34.213
2019/04/13,-45.341
2019/04/14,-24.046
2019/04/15,14.049
2019/04/16,33.331
2019/04/17,5.957
2019/04/18,-3.876
2019/04/19,4.164
2019/04/20,-12.729
2019/04/21,-16.911
2019/04/22,-0.638
