Date,transactions3var
2018/05/28,1914967761
2018/05/29,1212447614
2018/05/30,482362694
2018/05/31,76823169
2018/06/01,1031196201
2018/06/02,1094331267
2018/06/03,505762756
2018/06/04,366989614
2018/06/05,174651666
2018/06/06,469846800
2018/06/07,133712211
2018/06/08,527542788
2018/06/09,621909847
2018/06/10,563630764
2018/06/11,988444
2018/06/12,878820
2018/06/13,175028305
2018/06/14,197489975
2018/06/15,239491796
2018/06/16,3477662382
2018/06/17,3193736149
2018/06/18,604312671
2018/06/19,2897307918
2018/06/20,2111138133
2018/06/21,434522367
2018/06/22,445394770
2018/06/23,1674532255
2018/06/24,2071998074
2018/06/25,5929195070
2018/06/26,4664512605
2018/06/27,1877118864
2018/06/28,275327393
2018/06/29,243211366
2018/06/30,2557833555
2018/07/01,2575640456
2018/07/02,4265071185
2018/07/03,3019006934
2018/07/04,2759469882
2018/07/05,2729901777
2018/07/06,1256992796
2018/07/07,801206154
2018/07/08,5787262867
2018/07/09,5589740587
2018/07/10,626292447
2018/07/11,437937585
2018/07/12,2683996402
2018/07/13,1396316415
2018/07/14,691598276
2018/07/15,2002471478
2018/07/16,11526924242
2018/07/17,13772526788
2018/07/18,421711642
2018/07/19,362106884
2018/07/20,1074173273
2018/07/21,2176745571
2018/07/22,622988163
2018/07/23,3220433602
2018/07/24,2179792994
2018/07/25,169713601
2018/07/26,816345564
2018/07/27,868040798
2018/07/28,1292216604
2018/07/29,1397348049
2018/07/30,528258174
2018/07/31,300126494
2018/08/01,35684705
2018/08/02,207582239
2018/08/03,136366241
2018/08/04,589600579
2018/08/05,414042116
2018/08/06,81041546
2018/08/07,958561628
2018/08/08,2990109201
2018/08/09,1699878675
2018/08/10,971296353
2018/08/11,2408210108
2018/08/12,323106206
2018/08/13,495902674
2018/08/14,575130343
2018/08/15,435294235
2018/08/16,787630493
2018/08/17,2037105151
2018/08/18,2261166339
2018/08/19,138260739
2018/08/20,688899993
2018/08/21,836089914
2018/08/22,915757978
2018/08/23,19429804
2018/08/24,3874906
2018/08/25,96636241
2018/08/26,95713118
2018/08/27,1097868313
2018/08/28,862953692
2018/08/29,1703005836
2018/08/30,782980895
2018/08/31,364973650
2018/09/01,1167092510
2018/09/02,1042800696
2018/09/03,226215004
2018/09/04,314020803
2018/09/05,353081483
2018/09/06,316179772
2018/09/07,388263351
2018/09/08,404039658
2018/09/09,253345962
2018/09/10,94026676
2018/09/11,11522930
2018/09/12,31026506
2018/09/13,44932554
2018/09/14,566551927
2018/09/15,965844260
2018/09/16,531986802
