Date,hashrate30roc
2019/01/16,7.617
2019/01/17,8.814
2019/01/18,7.581
2019/01/19,12.343
2019/01/20,11.069
2019/01/21,5.834
2019/01/22,6.319
2019/01/23,-4.875
2019/01/24,-4.002
2019/01/25,-7.391
2019/01/26,-7.319
2019/01/27,-7.045
2019/01/28,-14.359
2019/01/29,-19.778
2019/01/30,-21.697
2019/01/31,-14.195
2019/02/01,-20.873
2019/02/02,-21.081
2019/02/03,-22.876
2019/02/04,-23.956
2019/02/05,-24.344
2019/02/06,-26.729
2019/02/07,-24.614
2019/02/08,-25.104
2019/02/09,-24.198
2019/02/10,-22.314
2019/02/11,-21.475
2019/02/12,-19.159
2019/02/13,-22.917
2019/02/14,-25.64
2019/02/15,-22.043
2019/02/16,-18.975
2019/02/17,-20.941
2019/02/18,-21.53
2019/02/19,-16.496
2019/02/20,-14.163
2019/02/21,-15.545
2019/02/22,-10.921
2019/02/23,-8.702
2019/02/24,-11.084
2019/02/25,-9.88
2019/02/26,-7.238
2019/02/27,0.096
2019/02/28,7.358
2019/03/01,5.306
2019/03/02,2.048
2019/03/03,5.88
2019/03/04,5.179
2019/03/05,9.8
2019/03/06,7.282
2019/03/07,7.263
2019/03/08,10.059
2019/03/09,6.591
2019/03/10,6.898
2019/03/11,5.329
2019/03/12,1.947
2019/03/13,2.958
2019/03/14,0.026
2019/03/15,3.376
2019/03/16,9.109
2019/03/17,7.795
2019/03/18,3.209
2019/03/19,2.643
2019/03/20,3.75
2019/03/21,-3.914
2019/03/22,-4.004
2019/03/23,-3.021
2019/03/24,-1.89
2019/03/25,-8.122
2019/03/26,-8.763
2019/03/27,-8.116
2019/03/28,-9.604
2019/03/29,-9.051
2019/03/30,-13.256
2019/03/31,-9.945
2019/04/01,-5.25
2019/04/02,-5.358
2019/04/03,-5.539
2019/04/04,-4.008
2019/04/05,-3.886
2019/04/06,-3.458
2019/04/07,-5.025
2019/04/08,-1.39
2019/04/09,-2.998
2019/04/10,1.576
2019/04/11,1.669
2019/04/12,1.975
2019/04/13,3.052
2019/04/14,4.424
2019/04/15,0.838
2019/04/16,0.606
2019/04/17,-0.425
2019/04/18,2.324
2019/04/19,0.418
2019/04/20,0.919
2019/04/21,2.573
2019/04/22,3.227
2019/04/23,2.209
2019/04/24,0.43
2019/04/25,3.909
2019/04/26,5.148
2019/04/27,7.19
2019/04/28,5.682
2019/04/29,11.494
2019/04/30,11.795
2019/05/01,5.964
2019/05/02,6.205
2019/05/03,5.364
2019/05/04,7.248
2019/05/05,7.45
2019/05/06,3.922
2019/05/07,6.518
2019/05/08,4.889
2019/05/09,4.421
2019/05/10,2.456
2019/05/11,3.061
2019/05/12,5.649
2019/05/13,2.394
2019/05/14,4.541
2019/05/15,5.582
2019/05/16,6.324
2019/05/17,15.496
2019/05/18,16.345
2019/05/19,11.509
2019/05/20,10.784
2019/05/21,8.307
2019/05/22,8.37
2019/05/23,7.917
2019/05/24,8.177
2019/05/25,9.572
