Date,difficulty30ema
2019/03/10,2.364203809584E+15
2019/03/11,2333181524838450
2019/03/12,2.3022382574732E+15
2019/03/13,2272499318160074
2019/03/14,2.2454076618013E+15
2019/03/15,2.2204845028367E+15
2019/03/16,2199330627523671
2019/03/17,2.1801261130262E+15
2019/03/18,2.160968278286E+15
2019/03/19,2.1382740225577E+15
2019/03/20,2120708707194398
2019/03/21,2103994956308388
2019/03/22,2.087094069415E+15
2019/03/23,2070739114366102
2019/03/24,2.0562838074124E+15
2019/03/25,2.0425468405975E+15
2019/03/26,2.026517763926E+15
2019/03/27,2.0094069395905E+15
2019/03/28,1.9942989546688E+15
2019/03/29,1.9812111021978E+15
2019/03/30,1.964162607736E+15
2019/03/31,1.948502410878E+15
2019/04/01,1939551051365758
2019/04/02,1.9303263560272E+15
2019/04/03,1921204112076042
2019/04/04,1914644106572196
2019/04/05,1.90862448056E+15
2019/04/06,1.9044031757061E+15
2019/04/07,1.8991635830233E+15
2019/04/08,1.8944186305142E+15
2019/04/09,1.8916495218203E+15
2019/04/10,1.8907851913421E+15
2019/04/11,1.891023690057E+15
2019/04/12,1.8902513698363E+15
2019/04/13,1.8907766207118E+15
2019/04/14,1.893279299064E+15
2019/04/15,1895242762473878
2019/04/16,1.8953552370215E+15
2019/04/17,1893274368472501
2019/04/18,1890756191152227
2019/04/19,1.890172811554E+15
2019/04/20,1.8891027249319E+15
2019/04/21,1.8883112783205E+15
2019/04/22,1889413474844494
2019/04/23,1.8898356142507E+15
2019/04/24,1.8875013301581E+15
2019/04/25,1.8851200918597E+15
2019/04/26,1882779338819110
2019/04/27,1883507771141964
2019/04/28,1883610183359561
2019/04/29,1885034689890386
2019/04/30,1.8878515118079E+15
2019/05/01,1.8898993292148E+15
2019/05/02,1.8910898493238E+15
2019/05/03,1.8914662904352E+15
2019/05/04,1.8949605003195E+15
2019/05/05,1.8990341683365E+15
2019/05/06,1.9002556692999E+15
2019/05/07,1.9031655541668E+15
2019/05/08,1.9050986760769E+15
2019/05/09,1.9069295033824E+15
2019/05/10,1908121767551305
2019/05/11,1.9108112291361E+15
2019/05/12,1.9146637940214E+15
2019/05/13,1.9178520973179E+15
2019/05/14,1.9235296649089E+15
2019/05/15,1930241219708708
2019/05/16,1.9365810794628E+15
2019/05/17,1.9481436677951E+15
2019/05/18,1.9619834329238E+15
2019/05/19,1.9718832859639E+15
2019/05/20,1.9797884552631E+15
2019/05/21,1984919098063617
2019/05/22,1.9899959960071E+15
2019/05/23,1.9939333425986E+15
2019/05/24,1.9947768426985E+15
2019/05/25,1.9961560215993E+15
2019/05/26,1997368499710628
2019/05/27,2.0029951757574E+15
2019/05/28,2.0052935647338E+15
2019/05/29,2.0126218078169E+15
2019/05/30,2.0211385555199E+15
2019/05/31,2.0262779849421E+15
2019/06/01,2.031866613651E+15
2019/06/02,2.0395925598929E+15
2019/06/03,2.0411364476766E+15
2019/06/04,2043127433492506
2019/06/05,2.0418661618812E+15
2019/06/06,2.0456605337806E+15
2019/06/07,2050406694395121
