Date,mediantransactionvalue3momUSD
2018/10/20,-0.002
2018/10/21,0
2018/10/22,0
2018/10/23,0.03
2018/10/24,0.698
2018/10/25,0.189
2018/10/26,0.203
2018/10/27,-0.698
2018/10/28,-0.149
2018/10/29,-0.207
2018/10/30,0
2018/10/31,-0.015
2018/11/01,-0.037
2018/11/02,0
2018/11/03,-0.025
2018/11/04,0
2018/11/05,0.105
2018/11/06,0
2018/11/07,0
2018/11/08,-0.105
2018/11/09,0.211
2018/11/10,0.02
2018/11/11,0
2018/11/12,-0.188
2018/11/13,0.003
2018/11/14,0.234
2018/11/15,0.548
2018/11/16,-0.023
2018/11/17,-0.234
2018/11/18,-0.571
2018/11/19,0.978
2018/11/20,0.138
2018/11/21,0
2018/11/22,-0.978
2018/11/23,-0.138
2018/11/24,0
2018/11/25,0.06
2018/11/26,0.007
2018/11/27,0
2018/11/28,-0.06
2018/11/29,-0.007
2018/11/30,0.116
2018/12/01,0
2018/12/02,0
2018/12/03,-0.085
2018/12/04,0
2018/12/05,0
2018/12/06,-0.031
2018/12/07,0.088
2018/12/08,0.046
2018/12/09,0.019
2018/12/10,-0.06
2018/12/11,-0.046
2018/12/12,-0.019
2018/12/13,-0.028
2018/12/14,0
2018/12/15,0
2018/12/16,0.02
2018/12/17,0
2018/12/18,0
2018/12/19,-0.02
2018/12/20,0
2018/12/21,0
2018/12/22,0
2018/12/23,0
2018/12/24,0
2018/12/25,0
2018/12/26,0
2018/12/27,0
2018/12/28,0
2018/12/29,0
2018/12/30,0.138
2018/12/31,0
2019/01/01,0
2019/01/02,-0.138
2019/01/03,0
2019/01/04,0
2019/01/05,0
2019/01/06,0
2019/01/07,0.001
2019/01/08,0.013
2019/01/09,0
2019/01/10,-0.001
2019/01/11,-0.003
2019/01/12,0
2019/01/13,0
2019/01/14,0.229
2019/01/15,0.159
2019/01/16,0
2019/01/17,-0.24
2019/01/18,-0.159
2019/01/19,0
2019/01/20,0
2019/01/21,0
2019/01/22,0
2019/01/23,0
2019/01/24,0
2019/01/25,0
2019/01/26,0
2019/01/27,0
2019/01/28,0.059
2019/01/29,0
2019/01/30,0
2019/01/31,-0.059
2019/02/01,0
2019/02/02,0
2019/02/03,0
2019/02/04,0
2019/02/05,0
2019/02/06,0
2019/02/07,0
2019/02/08,0
2019/02/09,0
2019/02/10,0
2019/02/11,0
2019/02/12,0
2019/02/13,0
2019/02/14,0
2019/02/15,0
2019/02/16,0
2019/02/17,0
2019/02/18,0.01
2019/02/19,0
2019/02/20,0
2019/02/21,-0.01
2019/02/22,0
2019/02/23,0
2019/02/24,0
2019/02/25,0
2019/02/26,0
2019/02/27,0
2019/02/28,0
2019/03/01,0
2019/03/02,0
2019/03/03,0
2019/03/04,0
2019/03/05,0
2019/03/06,0
2019/03/07,0
2019/03/08,0
2019/03/09,0
2019/03/10,0
2019/03/11,0
2019/03/12,0
2019/03/13,0
2019/03/14,0
