Date,size90wma
2019/06/21,23680
2019/06/22,23666
2019/06/23,23661
2019/06/24,23696
2019/06/25,23790
2019/06/26,23889
2019/06/27,23944
2019/06/28,24070
2019/06/29,24031
2019/06/30,23979
2019/07/01,24081
2019/07/02,24149
2019/07/03,24149
2019/07/04,24140
2019/07/05,24180
2019/07/06,24253
2019/07/07,24304
2019/07/08,24472
2019/07/09,24471
2019/07/10,24447
2019/07/11,24546
2019/07/12,24519
2019/07/13,24390
2019/07/14,24293
2019/07/15,24579
2019/07/16,24719
2019/07/17,24755
2019/07/18,24788
2019/07/19,24790
2019/07/20,24652
2019/07/21,24483
2019/07/22,24375
2019/07/23,24272
2019/07/24,24323
2019/07/25,24408
2019/07/26,24307
2019/07/27,24169
2019/07/28,24019
2019/07/29,23933
2019/07/30,23856
2019/07/31,23777
2019/08/01,23815
2019/08/02,23780
2019/08/03,23742
2019/08/04,23609
2019/08/05,23549
2019/08/06,23494
2019/08/07,23447
2019/08/08,23385
2019/08/09,23326
2019/08/10,23199
2019/08/11,23048
2019/08/12,22969
2019/08/13,22898
2019/08/14,22858
2019/08/15,22800
2019/08/16,22747
2019/08/17,22640
2019/08/18,22529
2019/08/19,22481
2019/08/20,22431
2019/08/21,22384
2019/08/22,22344
2019/08/23,22296
2019/08/24,22224
2019/08/25,22208
2019/08/26,22231
2019/08/27,22209
2019/08/28,22174
2019/08/29,22135
2019/08/30,22091
2019/08/31,22022
2019/09/01,21960
2019/09/02,21941
2019/09/03,21914
2019/09/04,21866
2019/09/05,21841
2019/09/06,21824
2019/09/07,21753
2019/09/08,21675
2019/09/09,21648
2019/09/10,21586
2019/09/11,21526
2019/09/12,21478
2019/09/13,21379
2019/09/14,21278
2019/09/15,21190
2019/09/16,20881
2019/09/17,20397
2019/09/18,19919
2019/09/19,19449
2019/09/20,18983
2019/09/21,18524
2019/09/22,18069
2019/09/23,17621
2019/09/24,17179
2019/09/25,16744
2019/09/26,16315
2019/09/27,15893
2019/09/28,15476
2019/09/29,15064
2019/09/30,14659
2019/10/01,14260
2019/10/02,13867
2019/10/03,13479
2019/10/04,13098
2019/10/05,12723
2019/10/06,12354
2019/10/07,11993
2019/10/08,11638
2019/10/09,11288
2019/10/10,10945
2019/10/11,10607
2019/10/12,10274
2019/10/13,9945
2019/10/14,9626
2019/10/15,9313
2019/10/16,9007
2019/10/17,8707
2019/10/18,8413
2019/10/19,8124
2019/10/20,7838
2019/10/21,7557
2019/10/22,7281
2019/10/23,7011
2019/10/24,6748
2019/10/25,6489
