Date,difficulty3roc
2019/03/12,-1.573
2019/03/13,-2.28
2019/03/14,-1.634
2019/03/15,0.299
2019/03/16,2.787
2019/03/17,2.649
2019/03/18,1.295
2019/03/19,-4.406
2019/03/20,-1.875
2019/03/21,-1.143
2019/03/22,1.814
2019/03/23,-1.737
2019/03/24,-0.804
2019/03/25,0.072
2019/03/26,-2.154
2019/03/27,-4.624
2019/03/28,-3.696
2019/03/29,-0.148
2019/03/30,-2.517
2019/03/31,-3.031
2019/04/01,1.023
2019/04/02,4.637
2019/04/03,3.921
2019/04/04,0.54
2019/04/05,1.379
2019/04/06,3.033
2019/04/07,0.201
2019/04/08,0.235
2019/04/09,0.45
2019/04/10,3.02
2019/04/11,3.772
2019/04/12,1.488
2019/04/13,1.072
2019/04/14,1.852
2019/04/15,2.377
2019/04/16,-0.074
2019/04/17,-3.445
2019/04/18,-3.611
2019/04/19,-0.805
2019/04/20,0.563
2019/04/21,1.218
2019/04/22,1.259
2019/04/23,1.194
2019/04/24,-1.235
2019/04/25,-2.876
2019/04/26,-2.485
2019/04/27,2.18
2019/04/28,1.864
2019/04/29,3.075
2019/04/30,1.828
2019/05/01,1.83
2019/05/02,0.14
2019/05/03,-1.647
2019/05/04,1.356
2019/05/05,2.607
2019/05/06,1.109
2019/05/07,-0.014
2019/05/08,-1.275
2019/05/09,0.809
2019/05/10,-1.025
2019/05/11,0.863
2019/05/12,1.916
2019/05/13,2.009
2019/05/14,2.874
2019/05/15,2.894
