Date,transactions3std
2019/06/11,219619
2019/06/12,85769
2019/06/13,148469
2019/06/14,92539
2019/06/15,155510
2019/06/16,92967
2019/06/17,49717
2019/06/18,77211
2019/06/19,77534
2019/06/20,114178
2019/06/21,169397
2019/06/22,205343
2019/06/23,16775
2019/06/24,43178
2019/06/25,135827
2019/06/26,102255
2019/06/27,99149
2019/06/28,165342
2019/06/29,227054
2019/06/30,280360
2019/07/01,231730
2019/07/02,228748
2019/07/03,167147
2019/07/04,136489
2019/07/05,93181
2019/07/06,92834
2019/07/07,221011
2019/07/08,193843
2019/07/09,199276
2019/07/10,60183
2019/07/11,210653
2019/07/12,230223
2019/07/13,321004
2019/07/14,120711
2019/07/15,136423
2019/07/16,324123
2019/07/17,216158
2019/07/18,273906
2019/07/19,146533
2019/07/20,191373
2019/07/21,252383
2019/07/22,96597
2019/07/23,99461
2019/07/24,268697
2019/07/25,305329
2019/07/26,274008
2019/07/27,325415
2019/07/28,61478
2019/07/29,96058
2019/07/30,120840
2019/07/31,33666
2019/08/01,169416
2019/08/02,158327
2019/08/03,96720
2019/08/04,195336
2019/08/05,179472
2019/08/06,147602
2019/08/07,19685
2019/08/08,42836
2019/08/09,40802
2019/08/10,75758
2019/08/11,115446
2019/08/12,107677
2019/08/13,116834
2019/08/14,31324
2019/08/15,41081
2019/08/16,39253
2019/08/17,64073
2019/08/18,80645
2019/08/19,85862
2019/08/20,96188
2019/08/21,7755
2019/08/22,4673
2019/08/23,4711
2019/08/24,48166
2019/08/25,49856
2019/08/26,66333
2019/08/27,68145
2019/08/28,25775
2019/08/29,23559
2019/08/30,9588
2019/08/31,37775
2019/09/01,27917
2019/09/02,68889
2019/09/03,60681
2019/09/04,37998
2019/09/05,46068
2019/09/06,51635
2019/09/07,86501
2019/09/08,86990
2019/09/09,75687
2019/09/10,70292
2019/09/11,55861
2019/09/12,26313
2019/09/13,87142
2019/09/14,92257
2019/09/15,8569
2019/09/16,96079
2019/09/17,80889
2019/09/18,41820
2019/09/19,22145
2019/09/20,20461
2019/09/21,103638
2019/09/22,124114
2019/09/23,52444
2019/09/24,108733
2019/09/25,57340
2019/09/26,42699
2019/09/27,44620
2019/09/28,41579
2019/09/29,25839
2019/09/30,80251
2019/10/01,75357
2019/10/02,47500
2019/10/03,24472
2019/10/04,30707
2019/10/05,21620
