Date,transactionvalue90stdUSD
2019/05/20,470.584
2019/05/21,472.743
2019/05/22,473.716
2019/05/23,475.405
2019/05/24,473.778
2019/05/25,473.338
2019/05/26,471.674
2019/05/27,472.838
2019/05/28,472.978
2019/05/29,480.585
2019/05/30,487.38
2019/05/31,488.199
2019/06/01,486.994
2019/06/02,487.639
2019/06/03,487.155
2019/06/04,487.562
2019/06/05,491.062
2019/06/06,490.878
2019/06/07,487.858
2019/06/08,492.638
2019/06/09,492.787
2019/06/10,492.126
2019/06/11,490.484
2019/06/12,488.91
2019/06/13,489.729
2019/06/14,488.981
2019/06/15,490.61
2019/06/16,491.308
2019/06/17,486.864
2019/06/18,487.758
2019/06/19,487.498
2019/06/20,484.106
2019/06/21,489.876
2019/06/22,492.422
2019/06/23,491.804
2019/06/24,491.461
2019/06/25,490.176
2019/06/26,508.894
2019/06/27,523.968
2019/06/28,521.34
2019/06/29,520.179
2019/06/30,516.751
2019/07/01,516.833
2019/07/02,516.087
2019/07/03,515.603
2019/07/04,515.766
2019/07/05,515.752
2019/07/06,520.888
2019/07/07,518.896
2019/07/08,518.983
2019/07/09,554.017
2019/07/10,555.166
2019/07/11,555.58
2019/07/12,549.725
2019/07/13,550.723
2019/07/14,550.266
2019/07/15,547.9
2019/07/16,547.637
2019/07/17,546.862
2019/07/18,544.446
2019/07/19,542.914
2019/07/20,542.976
2019/07/21,545.237
2019/07/22,546.746
2019/07/23,549.569
2019/07/24,557.742
2019/07/25,562.361
2019/07/26,559.549
2019/07/27,563.965
2019/07/28,571.828
2019/07/29,573.889
2019/07/30,575.752
2019/07/31,576.072
2019/08/01,575.201
2019/08/02,574.738
2019/08/03,578.32
