Date,activeaddresses3ema
2019/09/08,355442
2019/09/09,373091
2019/09/10,362385
2019/09/11,365318
2019/09/12,369113
2019/09/13,345971
2019/09/14,338504
2019/09/15,336399
2019/09/16,362755
2019/09/17,361502
2019/09/18,365283
2019/09/19,358251
2019/09/20,370493
2019/09/21,334655
2019/09/22,308457
2019/09/23,305621
2019/09/24,329264
2019/09/25,333860
2019/09/26,328791
2019/09/27,324527
2019/09/28,314508
2019/09/29,297729
2019/09/30,314721
2019/10/01,321866
2019/10/02,322164
2019/10/03,306687
2019/10/04,296298
2019/10/05,299339
2019/10/06,293483
2019/10/07,303076
2019/10/08,317649
2019/10/09,342946
2019/10/10,346145
2019/10/11,347441
2019/10/12,326264
2019/10/13,303438
2019/10/14,310230
2019/10/15,324163
2019/10/16,323421
2019/10/17,323172
2019/10/18,342216
2019/10/19,335173
2019/10/20,314082
2019/10/21,322018
