Date,activeaddresses30roc
2018/10/16,34.344
2018/10/17,10.469
2018/10/18,19.357
2018/10/19,22.227
2018/10/20,10.797
2018/10/21,-1.956
2018/10/22,30.402
2018/10/23,24.178
2018/10/24,22.876
2018/10/25,12.545
2018/10/26,24.17
2018/10/27,7.141
2018/10/28,5.891
2018/10/29,49.468
2018/10/30,27.605
2018/10/31,31.919
2018/11/01,27.35
2018/11/02,-8.53
2018/11/03,-14.117
2018/11/04,-18.007
2018/11/05,-10.853
2018/11/06,8.422
2018/11/07,-3.901
2018/11/08,-7.024
2018/11/09,7.517
2018/11/10,-8.585
2018/11/11,7.682
2018/11/12,3.602
2018/11/13,2.411
2018/11/14,-4.383
2018/11/15,-9.293
2018/11/16,-13.909
2018/11/17,-15.804
2018/11/18,-18.879
2018/11/19,11.913
2018/11/20,14.42
2018/11/21,-13.485
2018/11/22,-12.66
2018/11/23,-10.213
2018/11/24,-19.748
2018/11/25,-12.524
2018/11/26,-1.759
2018/11/27,-6.912
2018/11/28,-13.543
2018/11/29,-22.708
2018/11/30,-13.607
2018/12/01,-19.963
2018/12/02,-12.101
2018/12/03,-0.244
2018/12/04,-4.334
2018/12/05,-9.804
2018/12/06,-7.516
2018/12/07,3.574
2018/12/08,10.218
2018/12/09,-7.922
2018/12/10,7.474
2018/12/11,-14.616
2018/12/12,-12.711
2018/12/13,-8.463
2018/12/14,-12.019
2018/12/15,-6.124
2018/12/16,3.873
2018/12/17,6.968
2018/12/18,5.624
2018/12/19,-13.821
2018/12/20,-9.434
2018/12/21,0.511
2018/12/22,-12.798
2018/12/23,-4.83
2018/12/24,22.281
2018/12/25,-3.109
2018/12/26,-0.997
2018/12/27,4.108
2018/12/28,-0.473
2018/12/29,7.563
2018/12/30,-12.741
2018/12/31,6.968
2019/01/01,-0.065
2019/01/02,5.444
2019/01/03,15.38
2019/01/04,-3.948
2019/01/05,-7.612
2019/01/06,-12.33
2019/01/07,-5.324
2019/01/08,8.211
2019/01/09,-0.374
2019/01/10,8.857
2019/01/11,3.372
2019/01/12,-16.603
2019/01/13,-10.835
2019/01/14,11.648
2019/01/15,-3.701
2019/01/16,-8.753
2019/01/17,-4.409
2019/01/18,-10.426
2019/01/19,-16.586
2019/01/20,-18.169
2019/01/21,6.765
2019/01/22,-7.942
2019/01/23,-12.83
2019/01/24,-4.115
2019/01/25,-5.879
2019/01/26,-15.043
2019/01/27,-13.787
2019/01/28,2.329
2019/01/29,5.52
2019/01/30,-4.681
2019/01/31,5.406
2019/02/01,-13.446
2019/02/02,-27.84
2019/02/03,-27.027
2019/02/04,-25.711
2019/02/05,-24.947
2019/02/06,-30.934
2019/02/07,-34.684
2019/02/08,-26.544
2019/02/09,-31.962
2019/02/10,-33.71
2019/02/11,-6.575
2019/02/12,-10.216
2019/02/13,-27.505
2019/02/14,-20.901
2019/02/15,-10.503
2019/02/16,-14.885
2019/02/17,-19.225
2019/02/18,8.453
2019/02/19,11.284
2019/02/20,-6.259
2019/02/21,-6.713
2019/02/22,-9.985
2019/02/23,-12.355
2019/02/24,-7.388
2019/02/25,5.198
2019/02/26,-2.233
2019/02/27,-13.637
2019/02/28,-3.614
2019/03/01,1.788
2019/03/02,-4.502
2019/03/03,-7.287
2019/03/04,24.656
2019/03/05,37.845
2019/03/06,42.343
2019/03/07,37.128
2019/03/08,33.924
2019/03/09,35.937
2019/03/10,3.815
2019/03/11,26.29
2019/03/12,49.11
2019/03/13,27.73
2019/03/14,25.549
2019/03/15,14.831
2019/03/16,3.404
2019/03/17,5.508
2019/03/18,29.105
2019/03/19,37.133
2019/03/20,12.931
2019/03/21,6.865
2019/03/22,18.47
2019/03/23,13.084
2019/03/24,11.307
2019/03/25,43.21
2019/03/26,29.784
2019/03/27,21.933
2019/03/28,25.37
2019/03/29,21.349
2019/03/30,18.327
2019/03/31,6.676
2019/04/01,46.627
2019/04/02,71.954
2019/04/03,37.654
2019/04/04,18.81
2019/04/05,13.921
2019/04/06,4.598
2019/04/07,10.223
2019/04/08,27.619
2019/04/09,47.941
2019/04/10,27.558
2019/04/11,31.855
2019/04/12,33.562
2019/04/13,12.642
2019/04/14,0.602
2019/04/15,35.186
2019/04/16,29.154
2019/04/17,13.745
2019/04/18,11.754
2019/04/19,16.117
2019/04/20,39.155
2019/04/21,21.299
2019/04/22,41.126
2019/04/23,40.778
2019/04/24,6.044
2019/04/25,4.267
2019/04/26,6.967
2019/04/27,-13.871
2019/04/28,-8.128
2019/04/29,0.384
2019/04/30,19.2
2019/05/01,-3.429
2019/05/02,-24.975
2019/05/03,-17.161
