Date,sentbyaddress14mom
2019/05/19,39961
2019/05/20,46437
2019/05/21,64685
2019/05/22,42856
2019/05/23,35571
2019/05/24,39942
2019/05/25,20931
2019/05/26,23197
2019/05/27,43835
2019/05/28,1263
2019/05/29,-1318
2019/05/30,-19607
2019/05/31,31507
2019/06/01,125204
2019/06/02,52138
2019/06/03,15026
2019/06/04,6397
2019/06/05,328
2019/06/06,61059
2019/06/07,-39155
2019/06/08,-30716
2019/06/09,27849
2019/06/10,-37412
2019/06/11,46253
2019/06/12,134214
2019/06/13,7035
2019/06/14,-23928
2019/06/15,-102979
2019/06/16,85453
2019/06/17,-18287
2019/06/18,-13054
2019/06/19,4083
2019/06/20,-77948
2019/06/21,67817
2019/06/22,66231
2019/06/23,-8156
2019/06/24,23314
2019/06/25,-42736
2019/06/26,-101513
2019/06/27,-10186
2019/06/28,-21580
2019/06/29,-20188
2019/06/30,-156329
2019/07/01,-6769
2019/07/02,44205
2019/07/03,27527
2019/07/04,35675
2019/07/05,-40024
2019/07/06,-48470
2019/07/07,-54793
2019/07/08,-18895
2019/07/09,823
2019/07/10,-53145
2019/07/11,-36103
2019/07/12,7159
2019/07/13,-37177
2019/07/14,-5403
2019/07/15,10827
2019/07/16,-108552
2019/07/17,-40036
2019/07/18,-41150
2019/07/19,-15292
2019/07/20,-29266
2019/07/21,-17766
2019/07/22,-37525
2019/07/23,-67694
2019/07/24,-60505
2019/07/25,-33067
2019/07/26,-32925
2019/07/27,8111
2019/07/28,-6436
2019/07/29,-29339
2019/07/30,64059
2019/07/31,-20192
2019/08/01,-25968
2019/08/02,-6061
2019/08/03,-13015
2019/08/04,16108
2019/08/05,44626
2019/08/06,65120
2019/08/07,45344
2019/08/08,41391
2019/08/09,27492
2019/08/10,22724
2019/08/11,6273
2019/08/12,47420
2019/08/13,-21144
2019/08/14,27698
2019/08/15,18277
2019/08/16,17504
2019/08/17,17055
2019/08/18,4593
2019/08/19,-20246
2019/08/20,-21910
2019/08/21,10606
2019/08/22,-106
2019/08/23,5174
2019/08/24,-1011
2019/08/25,14823
2019/08/26,-19196
2019/08/27,14785
2019/08/28,-7904
2019/08/29,19863
2019/08/30,-12586
2019/08/31,15059
2019/09/01,11855
2019/09/02,19910
2019/09/03,4541
2019/09/04,988
2019/09/05,28820
2019/09/06,4162
2019/09/07,2716
2019/09/08,7916
2019/09/09,11967
2019/09/10,-15118
2019/09/11,2836
2019/09/12,6723
2019/09/13,-14409
2019/09/14,1552
2019/09/15,8859
2019/09/16,433
2019/09/17,-4302
2019/09/18,15
2019/09/19,-24586
