Date,price90smaUSD
2018/11/11,230.646
2018/11/12,230.071
2018/11/13,229.211
2018/11/14,228.21
2018/11/15,226.865
2018/11/16,225.483
2018/11/17,224.127
2018/11/18,222.859
2018/11/19,221.548
2018/11/20,219.976
2018/11/21,218.431
2018/11/22,216.847
2018/11/23,215.111
2018/11/24,213.434
2018/11/25,211.588
2018/11/26,209.641
2018/11/27,207.585
2018/11/28,205.759
2018/11/29,203.963
2018/11/30,202.021
2018/12/01,200.045
2018/12/02,198.131
2018/12/03,196.181
2018/12/04,194.47
2018/12/05,193.152
2018/12/06,191.787
2018/12/07,190.407
2018/12/08,189.231
2018/12/09,188.098
2018/12/10,187.018
2018/12/11,186.062
2018/12/12,184.878
2018/12/13,183.508
2018/12/14,182.035
2018/12/15,180.552
2018/12/16,179.157
2018/12/17,177.903
2018/12/18,176.638
2018/12/19,175.459
2018/12/20,174.116
2018/12/21,172.711
2018/12/22,171.264
2018/12/23,170.084
2018/12/24,169.34
2018/12/25,168.396
2018/12/26,167.429
2018/12/27,166.308
2018/12/28,165.17
2018/12/29,164.128
2018/12/30,163.104
2018/12/31,162.087
2019/01/01,161.157
2019/01/02,160.333
2019/01/03,159.546
2019/01/04,158.737
2019/01/05,158.014
2019/01/06,157.218
2019/01/07,156.399
2019/01/08,155.571
2019/01/09,155.02
2019/01/10,154.358
2019/01/11,153.556
2019/01/12,152.733
2019/01/13,151.763
2019/01/14,150.776
2019/01/15,149.854
2019/01/16,148.911
2019/01/17,147.999
2019/01/18,147.062
2019/01/19,146.125
2019/01/20,145.187
2019/01/21,144.227
2019/01/22,143.261
2019/01/23,142.324
2019/01/24,141.363
2019/01/25,140.394
2019/01/26,139.424
2019/01/27,138.473
2019/01/28,137.474
2019/01/29,136.456
2019/01/30,135.446
2019/01/31,134.416
2019/02/01,133.375
2019/02/02,132.299
2019/02/03,131.176
2019/02/04,129.995
2019/02/05,128.742
2019/02/06,127.501
2019/02/07,126.313
2019/02/08,125.176
2019/02/09,124.147
2019/02/10,123.109
2019/02/11,122.124
2019/02/12,121.266
2019/02/13,120.641
2019/02/14,120.014
2019/02/15,119.424
2019/02/16,118.82
2019/02/17,118.444
2019/02/18,118.462
2019/02/19,118.605
2019/02/20,118.733
2019/02/21,118.982
2019/02/22,119.255
2019/02/23,119.703
2019/02/24,120.158
2019/02/25,120.508
2019/02/26,120.722
2019/02/27,120.914
2019/02/28,121.148
2019/03/01,121.369
2019/03/02,121.546
2019/03/03,121.779
2019/03/04,121.958
2019/03/05,122.221
2019/03/06,122.636
2019/03/07,123.192
2019/03/08,123.693
2019/03/09,124.166
2019/03/10,124.644
2019/03/11,125.13
2019/03/12,125.602
2019/03/13,126.075
2019/03/14,126.586
2019/03/15,127.146
2019/03/16,127.746
2019/03/17,128.287
2019/03/18,128.764
2019/03/19,129.139
2019/03/20,129.463
2019/03/21,129.723
2019/03/22,129.991
2019/03/23,130.067
2019/03/24,129.943
2019/03/25,129.998
2019/03/26,130.021
2019/03/27,130.163
2019/03/28,130.319
2019/03/29,130.332
2019/03/30,130.381
2019/03/31,130.43
2019/04/01,130.494
2019/04/02,130.534
2019/04/03,130.728
2019/04/04,130.81
2019/04/05,130.854
2019/04/06,130.958
2019/04/07,131.113
2019/04/08,131.433
2019/04/09,131.706
2019/04/10,132.178
2019/04/11,132.625
2019/04/12,133.041
2019/04/13,133.505
2019/04/14,133.97
2019/04/15,134.387
2019/04/16,134.838
2019/04/17,135.33
2019/04/18,135.894
2019/04/19,136.438
2019/04/20,137.019
2019/04/21,137.604
2019/04/22,138.191
2019/04/23,138.801
2019/04/24,139.347
2019/04/25,139.867
2019/04/26,140.296
2019/04/27,140.765
2019/04/28,141.334
2019/04/29,141.894
2019/04/30,142.463
2019/05/01,143.053
2019/05/02,143.651
2019/05/03,144.306
2019/05/04,144.928
2019/05/05,145.548
2019/05/06,146.217
2019/05/07,147.03
2019/05/08,147.756
2019/05/09,148.42
2019/05/10,149.02
2019/05/11,149.778
2019/05/12,150.56
2019/05/13,151.376
2019/05/14,152.316
2019/05/15,153.544
2019/05/16,155.092
2019/05/17,156.38
2019/05/18,157.627
2019/05/19,158.869
2019/05/20,160.003
2019/05/21,161.2
2019/05/22,162.396
2019/05/23,163.434
2019/05/24,164.528
2019/05/25,165.61
2019/05/26,166.868
2019/05/27,168.331
2019/05/28,169.819
2019/05/29,171.29
2019/05/30,172.832
2019/05/31,174.208
2019/06/01,175.708
2019/06/02,177.279
2019/06/03,178.741
2019/06/04,179.938
2019/06/05,181.116
2019/06/06,182.311
2019/06/07,183.556
2019/06/08,184.788
2019/06/09,185.949
2019/06/10,187.128
2019/06/11,188.364
2019/06/12,189.682
2019/06/13,191.061
2019/06/14,192.341
2019/06/15,193.75
2019/06/16,195.22
2019/06/17,196.699
2019/06/18,198.135
