Date,hashrate3ema
2018/06/24,2.816507927073E+14
2018/06/25,2.8217701180566E+14
2018/06/26,2.8113078328748E+14
2018/06/27,2.8462472658677E+14
2018/06/28,2.8200446860146E+14
2018/06/29,2.7957128803111E+14
2018/06/30,2.8363956881371E+14
2018/07/01,2.7992121299694E+14
2018/07/02,2.8046249630616E+14
2018/07/03,2.8290466461132E+14
2018/07/04,2.8292334412128E+14
2018/07/05,2.8760266439826E+14
2018/07/06,2.875768040541E+14
2018/07/07,2.8924582703859E+14
2018/07/08,2.8722003228427E+14
2018/07/09,2.8995825227494E+14
2018/07/10,2.8770370299352E+14
2018/07/11,2.8265296785641E+14
2018/07/12,2.8170645267683E+14
2018/07/13,2.7985367843376E+14
2018/07/14,2.7916381091217E+14
2018/07/15,2.7966066206304E+14
2018/07/16,2.8005106476173E+14
2018/07/17,2.8329349479078E+14
2018/07/18,283734249434423
2018/07/19,2.8230418867774E+14
2018/07/20,2.792711647193E+14
2018/07/21,2.7229666452985E+14
2018/07/22,2.7508854303121E+14
2018/07/23,281237702989383
2018/07/24,2.81912620038E+14
2018/07/25,2.859180721351E+14
2018/07/26,2.8668240528586E+14
2018/07/27,2.8681305690513E+14
2018/07/28,2.8754113989811E+14
2018/07/29,2.8852732321269E+14
2018/07/30,2.8878922273693E+14
2018/07/31,2.8954295911028E+14
2018/08/01,2.883320182745E+14
2018/08/02,2.9052050792865E+14
2018/08/03,2.8809094868079E+14
2018/08/04,2.9049230439286E+14
2018/08/05,2.9175689660932E+14
2018/08/06,292539605396566
2018/08/07,2.9225217061843E+14
2018/08/08,293619854827575
2018/08/09,2.9475803667122E+14
2018/08/10,2.9344951519099E+14
2018/08/11,2.9341425426739E+14
2018/08/12,2.8939554534673E+14
2018/08/13,287304154626691
