Date,sentinusd90rocUSD
2019/04/20,56.347
2019/04/21,58.447
2019/04/22,89.627
2019/04/23,103.703
2019/04/24,108.304
2019/04/25,125.078
2019/04/26,366.482
2019/04/27,40.337
2019/04/28,6.208
2019/04/29,99.738
2019/04/30,84.974
2019/05/01,65.829
2019/05/02,62.299
2019/05/03,221.053
2019/05/04,131.796
2019/05/05,176.909
2019/05/06,374.028
2019/05/07,228.84
2019/05/08,250.855
2019/05/09,103.292
2019/05/10,258.506
2019/05/11,389.316
2019/05/12,138.069
2019/05/13,313.698
2019/05/14,230.006
2019/05/15,401.417
2019/05/16,851.119
2019/05/17,728.864
2019/05/18,145.628
